model,IC,Estimate,Std. Error,Lower,Upper
LL4,10,44.708293760342094,17.189512342343647,8.730230944268321,80.686356576415875
LL4,20,47.24283591822329,9.238230045486235,27.906998212863034,66.57867362358355
LL4,50,51.912877663200234,6.750619705303567,37.783668237837134,66.04208708856333
W14,10,35.394206578317906,11.128518772286546,12.101949097987742,58.68646405864807
W14,20,42.25437822753981,6.792526139503433,28.037457627361913,56.4712988277177
W14,50,55.21782581480377,5.372759210583657,43.97251154850838,66.46314008109916
W24,10,45.30310859072884,3.849302911096495,37.24642500509995,53.35979217635773
W24,20,47.28295431956911,2.395371824741694,42.26938347113282,52.296525168005395
W24,50,52.28758586714286,2.2110253973508422,47.659856525579855,56.91531520870586
