"","conc","mean_viability","sd","median_viability","n_DAPI","n_GFP","n_images","relative_viability"
"1",0,0.649870462464257,0.0912683262761653,0.642746400885936,6724,2424,30,1
"2",0.1,0.609558724259216,0.147712020918838,0.620109182029712,6421,2495,30,0.937969579272487
"3",1,0.675880550488077,0.103878151838032,0.681044052553924,4189,1272,20,1.04002349625984
"4",5,0.559571277526506,0.136279810597166,0.579590620031797,6572,2829,30,0.861050485976323
"5",50,0.40634029355957,0.124528339386192,0.421288647628039,7485,4270,30,0.625263521008111
"6",100,0.0144404349514762,0.0186156507155277,0.00737070720781863,7707,7716,30,0.0222204820584079
"7",200,0.0450630786202809,0.0389087098747486,0.044520271361654,7222,6931,30,0.069341632252996
"8",500,0.0515418276503211,0.0494944590344652,0.0392511871007413,7199,6806,30,0.0793109252186637
