"","uniq_id","conc","image_id","replicate","dish","DAPI","GFP","mortality","viability"
"79","79",1,7,"A","D2",259,42,0.162162162162162,0.837837837837838
"80","80",1,7,"B","D4",173,66,0.38150289017341,0.61849710982659
"81","81",1,7,"C","D6",157,38,0.24203821656051,0.75796178343949
"82","82",1,8,"A","D2",339,65,0.191740412979351,0.808259587020649
"83","83",1,8,"B","D4",251,72,0.286852589641434,0.713147410358566
"84","84",1,8,"C","D6",198,50,0.252525252525253,0.747474747474747
"85","85",1,9,"A","D2",393,52,0.132315521628499,0.867684478371501
"86","86",1,9,"B","D4",105,32,0.304761904761905,0.695238095238095
"87","87",1,9,"C","D6",169,99,0.585798816568047,0.414201183431953
"88","88",1,10,"A","D2",302,153,0.506622516556291,0.493377483443709
"89","89",1,10,"B","D4",59,31,0.525423728813559,0.474576271186441
"90","90",1,10,"C","D6",153,110,0.718954248366013,0.281045751633987
"91","91",5,1,"A","D2",167,54,0.323353293413174,0.676646706586826
"92","92",5,1,"B","D4",284,64,0.225352112676056,0.774647887323944
"93","93",5,1,"C","D6",292,138,0.472602739726027,0.527397260273973
"94","94",5,2,"A","D2",229,117,0.510917030567686,0.489082969432314
"95","95",5,2,"B","D4",144,47,0.326388888888889,0.673611111111111
"96","96",5,2,"C","D6",263,127,0.482889733840304,0.517110266159696
"97","97",5,3,"A","D2",150,53,0.353333333333333,0.646666666666667
"98","98",5,3,"B","D4",70,23,0.328571428571429,0.671428571428571
"99","99",5,3,"C","D6",272,112,0.411764705882353,0.588235294117647
"100","100",5,4,"A","D2",141,52,0.368794326241135,0.631205673758865
"101","101",5,4,"B","D4",188,75,0.398936170212766,0.601063829787234
"102","102",5,4,"C","D6",332,144,0.433734939759036,0.566265060240964
"103","103",5,5,"A","D2",77,44,0.571428571428571,0.428571428571429
"104","104",5,5,"B","D4",242,76,0.31404958677686,0.68595041322314
"105","105",5,5,"C","D6",253,74,0.292490118577075,0.707509881422925
"106","106",5,6,"A","D2",234,157,0.670940170940171,0.329059829059829
"107","107",5,6,"B","D4",361,170,0.470914127423823,0.529085872576177
"108","108",5,6,"C","D6",296,127,0.429054054054054,0.570945945945946
"109","109",5,7,"A","D2",222,121,0.545045045045045,0.454954954954955
"110","110",5,7,"B","D4",200,72,0.36,0.64
"111","111",5,7,"C","D6",204,67,0.32843137254902,0.67156862745098
"112","112",5,8,"A","D2",226,156,0.690265486725664,0.309734513274336
"113","113",5,8,"B","D4",284,86,0.302816901408451,0.697183098591549
"114","114",5,8,"C","D6",227,138,0.607929515418502,0.392070484581498
"115","115",5,9,"A","D2",264,95,0.359848484848485,0.640151515151515
"116","116",5,9,"B","D4",170,78,0.458823529411765,0.541176470588235
"117","117",5,9,"C","D6",164,115,0.701219512195122,0.298780487804878
"118","118",5,10,"A","D2",195,106,0.543589743589744,0.456410256410256
"119","119",5,10,"B","D4",85,58,0.682352941176471,0.317647058823529
"120","120",5,10,"C","D6",336,83,0.24702380952381,0.75297619047619
"121","121",50,1,"A","D1",260,184,0.707692307692308,0.292307692307692
"122","122",50,1,"B","D3",62,56,0.903225806451613,0.0967741935483871
"123","123",50,1,"C","D5",204,79,0.387254901960784,0.612745098039216
"124","124",50,2,"A","D1",251,173,0.689243027888446,0.310756972111554
"125","125",50,2,"B","D3",135,88,0.651851851851852,0.348148148148148
"126","126",50,2,"C","D5",226,119,0.526548672566372,0.473451327433628
"127","127",50,3,"A","D1",293,200,0.68259385665529,0.31740614334471
"128","128",50,3,"B","D3",143,102,0.713286713286713,0.286713286713287
"129","129",50,3,"C","D5",313,204,0.651757188498403,0.348242811501597
"130","130",50,4,"A","D1",367,218,0.594005449591281,0.405994550408719
"131","131",50,4,"B","D3",107,79,0.738317757009346,0.261682242990654
"132","132",50,4,"C","D5",438,237,0.541095890410959,0.458904109589041
"133","133",50,5,"A","D1",228,132,0.578947368421053,0.421052631578947
"134","134",50,5,"B","D3",73,34,0.465753424657534,0.534246575342466
"135","135",50,5,"C","D5",424,192,0.452830188679245,0.547169811320755
"136","136",50,6,"A","D1",416,268,0.644230769230769,0.355769230769231
"137","137",50,6,"B","D3",130,84,0.646153846153846,0.353846153846154
"138","138",50,6,"C","D5",391,199,0.508951406649616,0.491048593350384
"139","139",50,7,"A","D1",461,245,0.531453362255965,0.468546637744035
"140","140",50,7,"B","D3",55,43,0.781818181818182,0.218181818181818
"141","141",50,7,"C","D5",359,198,0.551532033426184,0.448467966573816
"142","142",50,8,"A","D1",508,280,0.551181102362205,0.448818897637795
"143","143",50,8,"B","D3",109,88,0.807339449541284,0.192660550458716
"144","144",50,8,"C","D5",223,129,0.57847533632287,0.42152466367713
"145","145",50,9,"A","D1",235,102,0.434042553191489,0.565957446808511
"146","146",50,9,"B","D3",217,132,0.608294930875576,0.391705069124424
"147","147",50,9,"C","D5",242,128,0.528925619834711,0.471074380165289
"148","148",50,10,"A","D1",212,87,0.410377358490566,0.589622641509434
"149","149",50,10,"B","D3",203,100,0.492610837438424,0.507389162561576
"150","150",50,10,"C","D5",200,90,0.45,0.55
"151","151",100,1,"A","D1",392,384,0.979591836734694,0.0204081632653061
"152","152",100,1,"B","D3",360,356,0.988888888888889,0.0111111111111111
"153","153",100,1,"C","D5",265,263,0.992452830188679,0.00754716981132075
"154","154",100,2,"A","D1",245,262,1.06938775510204,-0.0693877551020408
"155","155",100,2,"B","D3",347,343,0.988472622478386,0.0115273775216138
"156","156",100,2,"C","D5",252,261,1.03571428571429,-0.0357142857142858
"157","157",100,3,"A","D1",122,131,1.07377049180328,-0.0737704918032787
"158","158",100,3,"B","D3",259,246,0.94980694980695,0.0501930501930502
"159","159",100,3,"C","D5",304,304,1,0
"160","160",100,4,"A","D1",118,132,1.11864406779661,-0.11864406779661
"161","161",100,4,"B","D3",390,393,1.00769230769231,-0.00769230769230766
"162","162",100,4,"C","D5",271,279,1.02952029520295,-0.0295202952029521
"163","163",100,5,"A","D1",139,138,0.992805755395683,0.0071942446043165
"164","164",100,5,"B","D3",449,438,0.975501113585746,0.0244988864142539
"165","165",100,5,"C","D5",341,337,0.988269794721408,0.0117302052785924
"166","166",100,6,"A","D1",126,143,1.13492063492063,-0.134920634920635
"167","167",100,6,"B","D3",319,298,0.934169278996865,0.0658307210031348
"168","168",100,6,"C","D5",453,440,0.971302428256071,0.0286975717439294
"169","169",100,7,"A","D1",132,160,1.21212121212121,-0.212121212121212
"170","170",100,7,"B","D3",233,222,0.952789699570815,0.0472103004291845
"171","171",100,7,"C","D5",328,332,1.01219512195122,-0.0121951219512195
"172","172",100,8,"A","D1",92,111,1.20652173913043,-0.206521739130435
"173","173",100,8,"B","D3",364,351,0.964285714285714,0.0357142857142857
"174","174",100,8,"C","D5",229,233,1.0174672489083,-0.017467248908297
"175","175",100,9,"A","D1",72,78,1.08333333333333,-0.0833333333333333
"176","176",100,9,"B","D3",283,271,0.957597173144876,0.0424028268551236
"177","177",100,9,"C","D5",172,170,0.988372093023256,0.0116279069767442
"178","178",100,10,"A","D1",194,189,0.974226804123711,0.0257731958762887
"179","179",100,10,"B","D3",189,183,0.968253968253968,0.0317460317460317
"180","180",100,10,"C","D5",267,268,1.00374531835206,-0.00374531835205993
"181","181",200,1,"A","D1",209,210,1.00478468899522,-0.00478468899521522
"182","182",200,1,"B","D3",72,67,0.930555555555556,0.0694444444444444
"183","183",200,1,"C","D5",255,237,0.929411764705882,0.0705882352941176
"184","184",200,2,"A","D1",164,157,0.957317073170732,0.0426829268292683
"185","185",200,2,"B","D3",176,184,1.04545454545455,-0.0454545454545454
"186","186",200,2,"C","D5",288,269,0.934027777777778,0.0659722222222222
"187","187",200,3,"A","D1",134,123,0.917910447761194,0.082089552238806
"188","188",200,3,"B","D3",206,208,1.00970873786408,-0.00970873786407767
"189","189",200,3,"C","D5",244,228,0.934426229508197,0.0655737704918032
"190","190",200,4,"A","D1",194,189,0.974226804123711,0.0257731958762887
"191","191",200,4,"B","D3",215,228,1.06046511627907,-0.0604651162790697
"192","192",200,4,"C","D5",247,246,0.995951417004049,0.00404858299595146
"193","193",200,5,"A","D1",293,269,0.918088737201365,0.0819112627986348
"194","194",200,5,"B","D3",179,170,0.949720670391061,0.0502793296089385
"195","195",200,5,"C","D5",186,160,0.860215053763441,0.139784946236559
"196","196",200,6,"A","D1",219,201,0.917808219178082,0.0821917808219178
"197","197",200,6,"B","D3",230,230,1,0
"198","198",200,6,"C","D5",154,145,0.941558441558442,0.0584415584415584
"199","199",200,7,"A","D1",272,256,0.941176470588235,0.0588235294117647
"200","200",200,7,"B","D3",333,341,1.02402402402402,-0.0240240240240239
"201","201",200,7,"C","D5",199,192,0.964824120603015,0.035175879396985
"202","202",200,8,"A","D1",574,509,0.886759581881533,0.113240418118467
"203","203",200,8,"B","D3",76,73,0.960526315789474,0.0394736842105263
"204","204",200,8,"C","D5",279,284,1.01792114695341,-0.0179211469534051
"205","205",200,9,"A","D1",453,432,0.95364238410596,0.0463576158940397
"206","206",200,9,"B","D3",175,179,1.02285714285714,-0.0228571428571429
"207","207",200,9,"C","D5",192,182,0.947916666666667,0.0520833333333334
"208","208",200,10,"A","D1",477,468,0.981132075471698,0.0188679245283019
"209","209",200,10,"B","D3",348,335,0.96264367816092,0.0373563218390804
"210","210",200,10,"C","D5",179,159,0.888268156424581,0.111731843575419
"211","211",500,1,"A","D1",157,156,0.993630573248408,0.00636942675159236
"212","212",500,1,"B","D3",183,179,0.978142076502732,0.0218579234972678
"213","213",500,1,"C","D5",126,124,0.984126984126984,0.0158730158730159
"214","214",500,2,"A","D1",105,100,0.952380952380952,0.0476190476190477
"215","215",500,2,"B","D3",217,216,0.995391705069124,0.00460829493087556
"216","216",500,2,"C","D5",207,171,0.826086956521739,0.173913043478261
"217","217",500,3,"A","D1",82,92,1.1219512195122,-0.121951219512195
"218","218",500,3,"B","D3",396,385,0.972222222222222,0.0277777777777778
"219","219",500,3,"C","D5",252,235,0.932539682539683,0.0674603174603174
"220","220",500,4,"A","D1",150,149,0.993333333333333,0.00666666666666671
"221","221",500,4,"B","D3",398,376,0.944723618090452,0.0552763819095478
"222","222",500,4,"C","D5",190,188,0.989473684210526,0.0105263157894737
"223","223",500,5,"A","D1",119,105,0.882352941176471,0.117647058823529
"224","224",500,5,"B","D3",311,309,0.993569131832797,0.00643086816720262
"225","225",500,5,"C","D5",123,121,0.983739837398374,0.016260162601626
"226","226",500,6,"A","D1",166,156,0.939759036144578,0.0602409638554217
"227","227",500,6,"B","D3",399,328,0.822055137844611,0.177944862155389
"228","228",500,6,"C","D5",150,146,0.973333333333333,0.0266666666666666
"229","229",500,7,"A","D1",184,175,0.951086956521739,0.0489130434782609
"230","230",500,7,"B","D3",163,150,0.920245398773006,0.0797546012269938
"231","231",500,7,"C","D5",192,181,0.942708333333333,0.0572916666666666
"232","232",500,8,"A","D1",292,257,0.88013698630137,0.11986301369863
"233","233",500,8,"B","D3",401,386,0.962593516209476,0.0374064837905237
"234","234",500,8,"C","D5",165,157,0.951515151515152,0.0484848484848485
"235","235",500,9,"A","D1",414,362,0.8743961352657,0.1256038647343
"236","236",500,9,"B","D3",446,446,1,0
"237","237",500,9,"C","D5",180,174,0.966666666666667,0.0333333333333333
"238","238",500,10,"A","D1",322,290,0.900621118012422,0.0993788819875776
"239","239",500,10,"B","D3",417,412,0.988009592326139,0.0119904076738609
"240","240",500,10,"C","D5",292,280,0.958904109589041,0.041095890410959
