Slice,Count,Total Area,Average Size,%Area,Mean,Mode,IntDen
Hg_500_uM_B_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,385,43561.440045357,113.146597520,2.458190921,254.983166266,255,28851.822682249
Hg_500_uM_B_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,396,25014.535028458,63.168017749,1.411581041,254.788381210,255,16097.234008173
Hg_500_uM_B_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,376,34346.292578697,91.346522816,1.938176160,254.983045213,255,23293.076693271
Hg_500_uM_B_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,398,25014.957522392,62.851652066,1.411604883,254.776865245,255,16017.967558128
Hg_500_uM_B_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,309,49642.059981346,160.653915797,2.801322936,254.980954167,255,40962.913179959
Hg_500_uM_B_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,311,25254.515047073,81.204228447,1.425123217,254.701746263,255,20688.371392057
Hg_500_uM_B_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,328,60283.145059586,183.790076401,3.401803974,254.884024736,255,46862.856156512
Hg_500_uM_B_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,399,34260.102571487,85.864918726,1.933312420,254.394697949,255,21865.312197119
Hg_500_uM_B_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,150,25736.164927483,171.574432850,1.452302929,254.903410034,255,43739.988512370
Hg_500_uM_B_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,163,13377.617519379,82.071273125,0.754904748,254.767690179,255,20909.667541878
Hg_500_uM_B_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,386,50891.392666817,131.842986183,2.871823320,254.968626586,255,33617.728505505
Hg_500_uM_B_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,401,29109.404994965,72.592032406,1.642656326,254.741501387,255,18494.310577316
Hg_500_uM_B_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,446,58922.272456169,132.112718512,3.325009344,254.967655165,255,33686.810712737
Hg_500_uM_B_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,446,38501.580000877,86.326412558,2.172660828,254.726241655,255,21997.291942374
Hg_500_uM_C_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,280,58897.767446518,210.349169452,3.323626515,254.875583703,255,53610.949726214
Hg_500_uM_C_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,292,26208.097530365,89.753758666,1.478934290,254.794060485,255,22869.867120612
Hg_500_uM_C_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,124,21000.785003662,169.361169384,1.185083389,254.953437067,255,43177.540816769
Hg_500_uM_C_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,126,8825.180000305,70.041111114,0.498008728,254.107666016,255,17831.411353702
Hg_500_uM_C_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,171,39647.400094032,231.856140901,2.237319952,254.691596137,255,59104.414365177
Hg_500_uM_C_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,207,16862.397508621,81.460857530,0.951552392,254.165597814,255,20747.015608488
Hg_500_uM_C_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,235,50307.497466087,214.074457302,2.838873861,254.689651100,255,54566.522229264
Hg_500_uM_C_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,252,21631.154930115,85.837916389,1.220655437,254.563497210,255,21868.147337898
Hg_500_uM_C_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,188,35158.760022163,187.014680969,1.984024049,254.897684381,255,47677.282182409
Hg_500_uM_C_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,190,17194.060010910,90.495052689,0.970268250,254.595353297,255,23057.526146176
Hg_500_uM_C_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,121,26232.602454185,216.798367390,1.480317113,254.948450010,255,55266.666150810
Hg_500_uM_C_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,123,7881.737509727,64.079166746,0.444769860,254.386088426,255,16316.537756447
Hg_500_uM_C_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,146,24626.257522583,168.672996730,1.389670373,254.853804183,255,42995.379608572
Hg_500_uM_C_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,150,12327.705033302,82.184700222,0.695657732,254.582284139,255,20942.733507487
Hg_500_uM_C_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,181,31461.039985657,173.817900473,1.775360107,254.920859995,255,44304.517359612
Hg_500_uM_C_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,192,16540.029955864,86.145989353,0.933361051,254.623656034,255,21949.271107992
Hg_500_uM_C_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,157,27476.864993095,175.011878937,1.550531387,254.972189739,255,44620.480663129
Hg_500_uM_C_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,165,10434.059988022,63.236727200,0.588798522,254.445944861,255,16109.694596354
Hg_500_uM_C_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,174,27341.665038109,157.136005966,1.542901995,254.898513268,255,40054.821030891
Hg_500_uM_C_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,180,15789.670032501,87.720389069,0.891017916,254.621971469,255,22353.137026638
Hg_50_uM_A_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,87,8186.782450676,94.100947709,0.461983678,254.776638864,255,23982.119814116
Hg_50_uM_A_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,212,26646.230049133,125.689764383,1.503658297,254.526975524,255,32024.463647231
Hg_50_uM_A_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,184,16358.355041504,88.904103486,0.923109057,254.900713713,255,22660.006882377
Hg_50_uM_A_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,260,17098.152480125,65.762124924,0.964856147,254.823578233,255,16758.153725023
Hg_50_uM_A_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,173,13620.132444382,78.729089274,0.768589970,254.852202223,255,20073.426787448
Hg_50_uM_A_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,251,20820.800030708,82.951394545,1.174926760,254.888296667,255,21144.450070811
Hg_50_uM_A_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,200,20566.032521248,102.830162606,1.160550119,254.943957596,255,26216.843265381
Hg_50_uM_A_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,293,23052.867518425,78.678728732,1.300883294,254.651608308,255,20044.322925555
Hg_50_uM_A_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,218,15743.194979668,72.216490732,0.888395308,254.982931575,255,18412.734172296
Hg_50_uM_A_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,367,30805.319982529,83.938201587,1.738357543,254.889127019,255,21393.673174201
Hg_50_uM_A_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,132,8713.217460632,66.009223187,0.491690633,254.996000348,255,16831.535799893
Hg_50_uM_A_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,228,22865.277510643,100.286304871,1.290297509,254.875164099,255,25556.941655745
Hg_50_uM_A_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,268,21850.432547569,81.531464730,1.233029368,254.976263758,255,20788.111463860
Hg_50_uM_A_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,416,31003.472476959,74.527578070,1.749539374,254.847313001,255,18994.172976567
Hg_50_uM_A_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,245,20533.922566414,83.811928843,1.158738140,254.987824919,255,21370.282796556
Hg_50_uM_A_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,461,37099.725074768,80.476627060,2.093553547,254.787698841,255,20509.620985184
Hg_50_uM_A_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,280,19937.352519035,71.204830425,1.125073434,254.983143016,255,18156.462093680
Hg_50_uM_A_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,508,41051.790039062,80.810610313,2.316570284,254.916159532,255,20598.222333292
Hg_50_uM_A_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,102,8859.825048447,86.861029887,0.499963763,254.682739108,255,22132.662556966
Hg_50_uM_A_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,235,28171.032473564,119.876733930,1.589703558,254.776670870,255,30551.145720786
Hg_50_uM_B_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,100,8240.017498970,82.400174990,0.464987755,254.904355774,255,21006.657692871
Hg_50_uM_B_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,203,23387.487488747,115.209297974,1.319766044,254.912411168,255,29366.694932458
Hg_50_uM_B_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,56,4810.585022926,85.903303981,0.271463395,254.431280954,255,21888.027348110
Hg_50_uM_B_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,62,6278.772537231,101.270524794,0.354313853,254.909206513,255,25813.557506930
Hg_50_uM_B_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,88,6543.257480621,74.355198643,0.369238852,254.879994999,255,18956.902884743
Hg_50_uM_B_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,135,14061.222491264,104.157203639,0.793480873,254.901442351,255,26551.308259187
Hg_50_uM_B_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,102,7694.992455482,75.441102505,0.434231756,254.985762503,255,19234.312545477
Hg_50_uM_B_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,143,11568.895024300,80.901363806,0.652837755,254.801254379,255,20614.026170851
Hg_50_uM_B_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,79,4783.122505188,60.545854496,0.269913674,254.984095513,255,15436.465267133
Hg_50_uM_B_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,107,6841.965025902,63.943598373,0.386095048,254.283259169,255,16282.459052826
Hg_50_uM_B_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,34,3092.699998856,90.961764672,0.174522400,254.953280729,255,23188.912396599
Hg_50_uM_B_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,73,8854.332485199,121.292225825,0.499653815,254.160055291,255,30886.717750027
Hg_50_uM_B_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,84,6317.642515182,75.210029943,0.356507302,254.745613280,255,19172.144621350
Hg_50_uM_B_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,130,11336.942471504,87.207249781,0.639748572,254.728255404,255,22214.643770658
Hg_50_uM_B_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,43,3497.877530098,81.345989072,0.197386743,254.954225407,255,20738.216013354
Hg_50_uM_B_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,55,4966.910014153,90.307454803,0.280284882,254.917258523,255,23016.647749467
Hg_50_uM_B_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,88,4919.167484283,55.899630503,0.277590751,255.000000000,255,14254.405817205
Hg_50_uM_B_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,109,6958.997497559,63.844013739,0.392699242,254.824040824,255,16267.374110791
Hg_50_uM_B_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,132,6581.705014229,49.861401623,0.371408463,254.785404205,255,12711.392576275
Hg_50_uM_B_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,217,15066.350069046,69.430184650,0.850200657,254.677095123,255,17693.277825281
Hg_50_uM_C_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,90,9174.587465286,101.939860725,0.517725943,254.190554131,255,25961.146351454
Hg_50_uM_C_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,200,29739.775047302,148.698875237,1.678228381,254.632287140,255,37890.740048828
Hg_50_uM_C_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,79,7094.197505951,89.799968430,0.400328637,254.908409988,255,22892.172965907
Hg_50_uM_C_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,204,22216.740020752,108.905588337,1.253700258,254.659331228,255,27744.518821567
Hg_50_uM_C_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,119,11325.112524033,95.169012807,0.639081003,254.959016175,255,24261.760590369
Hg_50_uM_C_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,226,19409.650071144,85.883407394,1.095294956,253.844081845,255,21861.178204292
Hg_50_uM_C_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,204,18075.817493439,88.606948497,1.020026207,254.839432885,255,22591.074943991
Hg_50_uM_C_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,313,26380.054981232,84.281325819,1.488637923,254.779569486,255,21476.937144319
Hg_50_uM_C_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,237,14808.624998093,62.483649781,0.835657120,254.888282679,255,15931.512337858
Hg_50_uM_C_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,438,41394.015065193,94.506883710,2.335882191,254.865372923,255,24088.186399138
Hg_50_uM_C_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,192,14594.839987755,76.014791603,0.823593139,254.986266613,255,19381.527347565
Hg_50_uM_C_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,424,50260.600120544,118.539151228,2.836227424,254.616012177,255,30204.614654541
Hg_50_uM_C_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,199,21093.312534332,105.996545399,1.190304758,254.986378962,255,27026.953480783
Hg_50_uM_C_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,391,38618.612535477,98.768830014,2.179265024,254.402834490,255,25152.710861323
Hg_50_uM_C_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,198,20539.414955139,103.734418965,1.159048078,254.759694649,255,26444.659078579
Hg_50_uM_C_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,359,33887.035071373,94.392855352,1.912260060,254.852627130,255,24054.572617895
Hg_50_uM_C_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,129,13625.625025749,105.625000200,0.768899919,254.774265023,255,26926.023216070
Hg_50_uM_C_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,223,20351.402456284,91.261894423,1.148438451,254.787345715,255,23255.839877689
Hg_50_uM_C_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,128,11378.347537994,88.893340141,0.642085078,254.710482717,255,22660.226486206
Hg_50_uM_C_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,242,24761.035029411,102.318326568,1.397275926,254.585330869,255,26065.351845986
Hg_5_uM_A_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,106,13081.022500992,123.405872651,0.738167763,254.899708298,255,31455.284334003
Hg_5_uM_A_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,195,22748.245036125,116.657666852,1.283693316,254.768035576,255,29716.212523788
Hg_5_uM_A_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,54,4687.637515068,86.808102131,0.264525414,255.000000000,255,22136.066071687
Hg_5_uM_A_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,167,20396.187530518,122.132859464,1.150965692,254.739295366,255,31120.009030279
Hg_5_uM_A_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,117,9193.177499771,78.574166665,0.518774986,254.942645081,255,20035.491647052
Hg_5_uM_A_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,229,23300.452499390,101.748700871,1.314854622,254.784158032,255,25926.158921687
Hg_5_uM_A_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,53,3664.342501640,69.138537767,0.206780434,254.901809692,255,17628.294364497
Hg_5_uM_A_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,150,18854.062541008,125.693750273,1.063942912,254.785430298,255,32018.866749674
Hg_5_uM_A_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,52,3445.065011024,66.251250212,0.194406510,255.000000000,255,16894.068692721
Hg_5_uM_A_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,141,20419.002435684,144.815620111,1.152253147,254.260971610,255,36887.486175754
Hg_5_uM_A_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,44,2464.865001678,56.019659129,0.139093399,255.000000000,255,14285.013006037
Hg_5_uM_A_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,77,7282.632535934,94.579643324,0.410962107,254.668347445,255,24099.619425984
Hg_5_uM_A_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,157,9647.364997864,61.448184700,0.544404983,254.799410389,255,15665.855936816
Hg_5_uM_A_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,234,19641.602495193,83.938472202,1.108384132,254.825637557,255,21396.483342097
Hg_5_uM_A_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,121,12882.447520256,106.466508432,0.726962091,255.000000000,255,27148.959630036
Hg_5_uM_A_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,222,20271.972521782,91.315191540,1.143956186,254.679745373,255,23270.814704964
Hg_5_uM_A_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,156,13439.302522659,86.149375145,0.758385660,254.941556197,255,21966.709400666
Hg_5_uM_A_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,226,19603.577522278,86.741493461,1.106238366,254.717532200,255,22102.395813528
Hg_5_uM_A_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,95,7915.537460327,83.321446951,0.446677206,254.852379568,255,21241.298707340
Hg_5_uM_A_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,264,29181.652436256,110.536562259,1.646733280,254.637291186,255,28163.970028964
Hg_5_uM_B_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,58,5159.992466927,88.965387361,0.291180609,254.591772934,255,22671.313607051
Hg_5_uM_B_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,85,11639.874981880,136.939705669,0.656843184,254.771650965,255,34895.542417279
Hg_5_uM_B_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,64,3020.030028343,47.187969193,0.170421602,255.000000000,255,12032.932079315
Hg_5_uM_B_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,284,28080.194973946,98.873925965,1.584577559,254.470590887,255,25187.054844816
Hg_5_uM_B_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,47,2677.805000305,56.974574475,0.151109695,254.149269266,255,14514.762742063
Hg_5_uM_B_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,144,20281.267488480,140.842135337,1.144480705,254.772285779,255,35890.054665460
Hg_5_uM_B_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,23,2894.547522545,125.849892285,0.163340570,254.277128800,255,32049.564028533
Hg_5_uM_B_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,70,8097.635009766,115.680500140,0.456953049,253.163189915,255,29450.815206473
Hg_5_uM_B_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,75,4479.767501831,59.730233358,0.252795220,254.950935465,255,15224.026959635
Hg_5_uM_B_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,188,22744.020054817,120.978830079,1.283454898,254.585790837,255,30819.801912348
Hg_5_uM_B_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,76,5075.070039749,66.777237365,0.286388399,255.000000000,255,17028.195363898
Hg_5_uM_B_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,242,27189.987537384,112.355320402,1.534342768,254.851645162,255,28631.908366558
Hg_5_uM_B_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,170,10709.952485085,62.999720500,0.604367255,254.977272752,255,16064.295003734
Hg_5_uM_B_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,361,29787.095019341,82.512728585,1.680898667,254.850198550,255,21030.001865207
Hg_5_uM_B_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,72,3139.175007820,43.599652886,0.177145005,254.706372155,255,11111.926038954
Hg_5_uM_B_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,200,21006.700029373,105.033500147,1.185417177,254.791765671,255,26771.691376953
Hg_5_uM_B_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,86,6049.355009079,70.341337315,0.341367722,254.888991422,255,17933.282675100
Hg_5_uM_B_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,284,28955.192487717,101.954903126,1.633954047,254.582190017,255,25970.048487704
Hg_5_uM_B_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,78,4391.465008736,56.300833445,0.247812272,254.858173077,255,14352.568684896
Hg_5_uM_B_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,170,19279.942472458,113.411426309,1.087975500,254.696155234,255,28895.831225586
Hg_5_uM_C_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,83,4042.057506561,48.699488031,0.228095055,254.941628514,255,12414.475224139
Hg_5_uM_C_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,336,35126.227560043,104.542343929,1.982188228,254.843405996,255,26646.754346575
Hg_5_uM_C_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,138,11543.967506409,83.651938452,0.651431084,254.982218756,255,21328.121590877
Hg_5_uM_C_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,292,26666.087570190,91.322217706,1.504778866,254.758535254,255,23271.668875080
Hg_5_uM_C_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,127,7709.780009270,60.706929207,0.435066224,254.858971303,255,15476.025332954
Hg_5_uM_C_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,263,26756.925091743,101.737357763,1.509904867,254.617169282,255,25916.808678225
Hg_5_uM_C_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,112,7277.985003471,64.982008960,0.410699845,254.725871904,255,16566.564498901
Hg_5_uM_C_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,272,32771.212595940,120.482399250,1.849293714,254.762291123,255,30703.207077924
Hg_5_uM_C_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,144,7195.597482681,49.969426963,0.406050681,255.000000000,255,12742.203909980
Hg_5_uM_C_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,332,31509.205033302,94.907244076,1.778078081,254.815167025,255,24185.770749747
Hg_5_uM_C_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,74,4488.217505455,60.651587912,0.253272057,254.830876737,255,15461.787122572
Hg_5_uM_C_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,253,31688.767505646,125.252045477,1.788210869,254.520840370,255,31908.611091704
Hg_5_uM_C_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,127,8321.559988022,65.524094394,0.469589233,255.000000000,255,16708.644069882
Hg_5_uM_C_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,296,33069.075001717,111.719847979,1.866102219,254.819733955,255,28472.182219634
Hg_5_uM_C_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,67,3696.875008583,55.177238934,0.208616257,254.873208573,255,14063.763810343
Hg_5_uM_C_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,204,26309.920089722,128.970196518,1.484680181,254.755095314,255,32866.275001675
Hg_5_uM_C_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,138,9469.070060730,68.616449715,0.534343723,254.810431218,255,17485.483980483
Hg_5_uM_C_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,227,25264.232471466,111.296178288,1.425671576,254.729375629,255,28355.845521364
Hg_5_uM_C_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,115,7090.395020485,61.655608874,0.400114061,254.861131486,255,15714.685423743
Hg_5_uM_C_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,164,16141.612546921,98.424466750,0.910878184,254.777076814,255,25073.275347454
