Slice,Count,Total Area,Average Size,%Area,Mean,Mode,IntDen
Hg_1_uM_C_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,118,8201.569985390,69.504830385,0.462818145,254.855057151,255,17714.601556293
Hg_1_uM_C_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,140,7939.197524071,56.708553743,0.448012353,254.985378156,255,14459.142030552
Hg_1_uM_C_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,257,25481.819995880,99.151050568,1.437950134,254.858034483,255,25268.007037330
Hg_1_uM_C_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,87,4858.750027657,55.847701467,0.274181368,254.785747835,255,14234.971946278
Hg_1_uM_C_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,242,29220.522516251,120.745960811,1.648926736,254.578267941,255,30762.617771622
Hg_1_uM_C_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,94,5125.347491264,54.524973311,0.289225578,254.949653139,255,13901.575958901
Hg_1_uM_C_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,292,31853.965090752,109.088921544,1.797533040,254.871016202,255,27805.130115248
Hg_1_uM_C_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,79,5252.942502022,66.492943064,0.296425820,254.612164268,255,16944.790502621
Hg_1_uM_C_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,109,8136.504982948,74.646834706,0.459146499,254.503947687,255,19019.128218625
Hg_1_uM_C_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,89,4802.980006218,53.966067486,0.271034241,254.816812580,255,13752.873488523
Hg_1_uM_C_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,103,5011.272506714,48.653131133,0.282788277,254.738573093,255,12396.088431053
Hg_1_uM_C_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,38,2450.499996185,64.486842005,0.138282776,254.799732007,255,16432.803897255
Hg_1_uM_C_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,157,21470.605003357,136.755445881,1.211595535,254.407777823,255,34846.561882651
Hg_1_uM_C_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,50,2541.337497711,50.826749954,0.143408775,254.084236755,255,12943.583178711
Hg_1_uM_C_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,198,24148.832447052,121.963800238,1.362729070,254.942585801,255,31094.783617424
Hg_1_uM_C_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,99,7300.799980164,73.745454345,0.411987304,254.795057817,255,18798.561340949
Hg_1_uM_C_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,169,18319.177524567,108.397500145,1.033759119,254.870315913,255,27631.162535538
Hg_200_uM_A_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,468,61674.437469482,131.782986046,3.480315207,254.967037625,255,33601.208315597
Hg_200_uM_A_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,477,32824.447557449,68.814355466,1.852297786,254.782860746,255,17533.882870336
Hg_200_uM_A_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,210,31001.782570839,147.627536052,1.749444012,254.724344453,255,37630.143727911
Hg_200_uM_A_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,209,14833.975048065,70.975957168,0.837087634,254.704067979,255,18087.528209339
Hg_200_uM_A_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,157,22192.234976768,141.351815139,1.252317427,254.968017384,255,36039.909484475
Hg_200_uM_A_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,164,10559.965021133,64.390030617,0.595903398,254.817767911,255,16410.260652868
Hg_200_uM_A_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,123,19539.357463837,158.856564747,1.102614401,254.974214259,255,40500.540932260
Hg_200_uM_A_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,134,8220.582497597,61.347630579,0.463891029,254.875244938,255,15638.017656469
Hg_200_uM_A_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,189,32067.749891281,169.670634345,1.809597009,254.907650821,255,43254.040929078
Hg_200_uM_A_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,194,13429.584991455,69.224664904,0.757837295,254.674267169,255,17642.848660499
Hg_200_uM_A_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,269,36098.400004387,134.194795555,2.037048340,254.990421565,255,34217.670344810
